edad,ingresos,monto_prestamo,deuda_actual,historial_pagos,meses_empleo,default
25,2500,5000,1200,1,12,0
45,8000,20000,500,0,120,0
30,3000,10000,4000,1,24,1
22,1500,3000,2800,1,6,1
50,12000,50000,2000,0,180,0
35,4500,15000,6000,1,48,1
28,2000,8000,3500,1,18,1
40,9000,30000,1000,0,96,0
33,5000,12000,2000,0,60,0
26,1800,4000,3200,1,8,1
55,15000,80000,3000,0,240,0
29,2800,9000,5000,1,20,1
42,7000,25000,800,0,108,0
31,3500,11000,4500,1,36,1
48,11000,45000,1500,0,156,0
24,1600,3500,3000,1,10,1
37,6000,18000,2500,0,72,0
32,4000,13000,3800,1,30,1
52,13000,60000,2200,0,204,0
27,2200,7000,4200,1,15,1
44,8500,35000,600,0,132,0
36,5500,16000,1800,0,66,0
23,1400,2500,2600,1,5,1
49,10000,40000,1200,0,168,0
34,4800,14000,3000,1,42,0
38,6500,22000,900,0,84,0
21,1300,2000,1800,1,3,1
46,9500,38000,700,0,144,0
39,7000,28000,1100,0,90,0
20,1200,1500,1500,1,2,1
